CD_CLIENTE,DATA_RECENTE,FREQUENCIA,MONETARIO,RECENCIA,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,SEGMENTO_RFM
99069,2023-06-06,0,8120.772043477423,776,3,1,3,313,Potencial para Retenção
99958,2016-04-07,0,1634142.1768539124,3392,1,1,5,115,Adormecidos
99999,2023-01-02,0,42.719598572800564,931,3,1,1,311,Potencial para Retenção
CARAMU,2022-06-17,0,85314.57379392923,1130,2,1,5,215,Adormecidos
T00018,2015-09-02,0,205.12301641027668,3610,1,1,2,112,Perdidos
T00053,2024-05-24,80,967114.976429168,423,4,5,5,455,Campeões
T00082,2025-02-13,160,132110.25769380905,158,5,5,5,555,Campeões
T00145,2024-07-25,52,57353.56237911872,361,4,5,5,455,Campeões
T00151,2020-02-13,0,4624.108581275967,1985,1,1,3,113,Adormecidos
T00245,2010-01-26,0,2011.1253648128131,5655,1,1,2,112,Perdidos
T00255,2014-11-28,0,8066.226994128658,3888,1,1,3,113,Adormecidos
T00292,2016-05-11,0,21692.404277492733,3358,1,1,4,114,Adormecidos
T00336,2025-01-26,174,223983.08439770574,176,5,5,5,555,Campeões
T00361,2022-06-14,0,1440.9183552855447,1133,2,1,2,212,Perdidos
T00390,2018-04-18,0,5814.384552571403,2651,1,1,3,113,Adormecidos
T00538,2024-02-02,0,137709.45099157395,535,3,1,5,315,Potencial para Retenção
T00546,2018-06-27,0,17430.907821201436,2581,1,1,4,114,Adormecidos
T00631,2015-08-13,0,20791.126684812334,3630,1,1,4,114,Adormecidos
T00673,2025-01-09,42,40577.97286371544,193,5,5,4,554,Campeões
T00686,2025-01-27,183,501943.57548763766,175,5,5,5,555,Campeões
T00737,2021-03-12,0,6560748.618174904,1592,2,1,5,215,Adormecidos
T00788,2022-07-29,0,282437.70428320044,1088,2,1,5,215,Adormecidos
T00831,2023-07-22,0,120952.82087290015,730,3,1,5,315,Potencial para Retenção
T00931,2013-09-11,0,590.9068032069056,4331,1,1,2,112,Perdidos
T00953,2022-03-24,0,64837.471050643144,1215,2,1,5,215,Adormecidos
T00971,2024-10-04,29,18804.274392441876,290,4,4,4,444,Campeões
T01008,2023-06-15,0,90188.53443401013,767,3,1,5,315,Potencial para Retenção
T01060,2010-12-29,0,19640.854620230006,5318,1,1,4,114,Adormecidos
T01085,2024-09-02,53,50647.531271096785,322,4,5,5,455,Campeões
T01104,2024-10-18,88,151927.73317749478,276,4,5,5,455,Campeões
T01127,2025-01-31,48,31453.89140538084,171,5,5,4,554,Campeões
T01134,2024-12-30,44,72549.8131276829,203,5,5,5,555,Campeões
T01173,2023-08-11,0,56742.72088427312,710,3,1,5,315,Potencial para Retenção
T01205,2019-12-10,0,66370.40343599777,2050,1,1,5,115,Adormecidos
T01254,2024-10-08,38,31915.836476112054,286,4,5,4,454,Campeões
T01259,2024-12-19,150,30385.363347317725,214,5,5,4,554,Campeões
T01346,2015-09-02,0,1808.9450485600796,3610,1,1,2,112,Perdidos
T01351,2025-02-12,140,41256.25684231459,159,5,5,4,554,Campeões
T01352,2017-08-10,0,96343.90646926562,2902,1,1,5,115,Adormecidos
T01356,2011-12-05,0,857.4986220509043,4977,1,1,2,112,Perdidos
T01384,2025-01-13,230,278468.8551537195,189,5,5,5,555,Campeões
T01436,2025-02-19,32,411750.4336259519,152,5,5,5,555,Campeões
T01440,2025-03-14,31,5898.621446509767,129,5,5,3,553,Clientes Leais
T01487,2025-01-20,78,13003.295941016768,182,5,5,4,554,Campeões
T01502,2025-02-28,848,254287.99432271623,143,5,5,5,555,Campeões
T01526,2014-04-24,0,18524.680042758904,4106,1,1,4,114,Adormecidos
T01531,2016-04-26,0,51792.76291069503,3373,1,1,5,115,Adormecidos
T01567,2024-02-15,0,7885.09959557448,522,3,1,3,313,Potencial para Retenção
