CD_CLIENTE,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
99069,788,4,651.6062997422989,3,2,2,322,Prestes a te largar
99958,3404,8,1634142.1768539124,1,3,5,135,Clientes Regulares
99999,3217,2,0.00840771473583952,1,1,1,111,Clientes Regulares
CARAMU,1142,2,85314.57379392923,2,1,5,215,Prestes a te largar
T00018,3622,6,203.12198030314687,1,2,2,122,Clientes Regulares
T00053,435,52,161362.5679763234,4,5,5,455,Amantes
T00082,170,30,116520.4123914586,5,5,5,555,Almas Gêmeas
T00145,373,49,56869.462980058546,4,5,5,455,Amantes
T00151,2773,8,1260.8839596470132,1,3,2,132,Clientes Regulares
T00245,5667,8,1568.8375311339753,1,3,2,132,Clientes Regulares
T00255,3900,10,8066.226994128658,1,3,3,133,Clientes Regulares
T00292,3370,9,11913.85789640563,1,3,4,134,Clientes Regulares
T00336,188,42,184550.65425903368,5,5,5,555,Almas Gêmeas
T00361,1145,8,397.7269455788879,2,3,2,232,Prestes a te largar
T00390,4135,9,5814.363533284563,1,3,3,133,Clientes Regulares
T00538,547,55,106923.35914451665,3,5,5,355,Prestes a te largar
T00546,2593,15,15807.41594042714,1,4,4,144,Clientes Regulares
T00631,3642,34,17437.398576977514,1,5,4,154,Clientes Regulares
T00673,205,37,38233.57409448869,5,5,5,555,Almas Gêmeas
T00686,187,45,440093.1384743405,5,5,5,555,Almas Gêmeas
T00737,1604,28,17712.45276070313,2,5,4,254,Prestes a te largar
T00788,1100,72,281862.0070359507,2,5,5,255,Prestes a te largar
T00831,742,23,113995.05017411511,3,4,5,345,Prestes a te largar
T00931,4343,7,590.9068032069056,1,3,2,132,Clientes Regulares
T00953,1227,21,34621.16582737631,2,4,4,244,Prestes a te largar
T00971,302,24,15857.349358243284,4,4,4,444,Amantes
T01008,1227,10,16498.51748014104,2,3,4,234,Prestes a te largar
T01060,5330,33,19640.854620230006,1,5,4,154,Clientes Regulares
T01085,334,26,13118.212586026224,4,4,4,444,Amantes
T01104,288,42,138349.95490400758,4,5,5,455,Amantes
T01127,183,48,31453.89140538084,5,5,4,554,Amantes
T01134,215,32,57235.47182179645,5,5,5,555,Almas Gêmeas
T01173,722,36,45252.88085742534,3,5,5,355,Prestes a te largar
T01205,2062,32,62998.92243849822,1,5,5,155,Ex-Amantes
T01254,298,20,11688.61942248986,4,4,4,444,Amantes
